doc_id,bow
108,"[(5, 1), (19, 3), (21, 1), (30, 3), (32, 1), (35, 1), (44, 10), (65, 1), (69, 1), (82, 1), (100, 1), (104, 3), (114, 1), (148, 3), (163, 1), (169, 1), (172, 1), (175, 2), (176, 2), (178, 1), (182, 6), (184, 1), (191, 2), (196, 1), (210, 1), (216, 1), (220, 4), (221, 1), (227, 1), (229, 1), (238, 1), (250, 1), (263, 1), (284, 1), (289, 2), (346, 1), (384, 4), (390, 2), (404, 1), (419, 1), (427, 1), (430, 2), (435, 1), (444, 1), (445, 2), (447, 1), (473, 1), (477, 1), (487, 1), (494, 1), (516, 1), (529, 2), (534, 1), (558, 1), (564, 3), (595, 2), (615, 2), (642, 1), (643, 2), (655, 1), (704, 1), (714, 2), (720, 1), (732, 1), (750, 1), (753, 2), (759, 1), (763, 1), (803, 1), (804, 1), (838, 1), (858, 1), (866, 2), (869, 1), (900, 1), (905, 1), (913, 1), (914, 11), (919, 1), (961, 3), (965, 2), (969, 1), (1016, 1), (1050, 1), (1078, 2), (1097, 1), (1120, 2), (1148, 1), (1163, 1), (1172, 1), (1176, 1), (1183, 1), (1186, 1), (1196, 1), (1205, 1), (1240, 1), (1249, 1), (1280, 1), (1285, 1), (1351, 1), (1353, 1), (1354, 1), (1382, 3), (1407, 1), (1408, 1), (1414, 1), (1502, 2), (1532, 1), (1588, 3), (1589, 1), (1614, 1), (1648, 5), (1670, 1), (1674, 1), (1686, 1), (1690, 1), (1696, 1), (1697, 1), (1735, 2), (1754, 1), (1755, 1), (1759, 1), (1775, 1), (1779, 1), (1786, 1), (1794, 1), (1796, 1), (1823, 1), (1825, 1), (1860, 1), (1870, 4), (1872, 1), (1877, 2), (1914, 1), (1915, 1), (1969, 1), (2096, 3), (2173, 2), (2240, 1), (2281, 2), (2307, 1), (2317, 1), (2333, 1), (2342, 1), (2363, 3), (2364, 2), (2387, 1), (2394, 1), (2435, 3), (2455, 1), (2457, 1), (2472, 3), (2522, 1), (2559, 2), (2584, 1), (2586, 1), (2654, 1), (2656, 1), (2748, 1), (2761, 1), (2790, 1), (2855, 1), (2885, 1), (2912, 1), (2913, 1), (2915, 2), (2919, 5), (2935, 1), (2969, 1), (2993, 2), (3014, 1), (3032, 2), (3214, 1), (3232, 1), (3247, 1), (3256, 1), (3257, 1), (3258, 2), (3268, 1), (3277, 1), (3280, 2), (3284, 1), (3336, 1), (3341, 1), (3369, 2), (3412, 1), (3449, 1), (3495, 1), (3563, 1), (3569, 1), (3689, 1), (3708, 1), (3727, 2), (3750, 1), (3816, 1), (3822, 1), (3856, 1), (3897, 1), (3923, 1), (3982, 1), (3983, 1), (3984, 1), (3985, 1), (3986, 1), (3987, 1), (3988, 1), (3989, 1), (3990, 2), (3991, 1), (3992, 1), (3993, 1), (3994, 1), (3995, 1), (3996, 7), (3997, 3), (3998, 1), (3999, 1), (4000, 2), (4001, 1), (4002, 1), (4003, 1), (4004, 1), (4005, 3), (4006, 1), (4007, 2), (4008, 1), (4009, 1), (4010, 5), (4011, 3), (4012, 1), (4013, 1), (4014, 1), (4015, 1), (4016, 1), (4017, 1), (4018, 1), (4019, 1), (4020, 2), (4021, 2), (4022, 1), (4023, 8), (4024, 1), (4025, 1), (4026, 1), (4027, 1), (4028, 1), (4029, 2), (4030, 6), (4031, 1), (4032, 1), (4033, 1), (4034, 1), (4035, 1), (4036, 1), (4037, 1), (4038, 1), (4039, 1), (4040, 1), (4041, 1), (4042, 1), (4043, 1), (4044, 1), (4045, 1), (4046, 1), (4047, 1), (4048, 1), (4049, 2), (4050, 1), (4051, 1), (4052, 1), (4053, 1), (4054, 1), (4055, 6)]"
109,"[(19, 1), (29, 1), (44, 1), (70, 1), (72, 2), (90, 2), (94, 4), (100, 1), (104, 1), (120, 1), (146, 1), (168, 1), (174, 1), (176, 1), (178, 1), (191, 1), (200, 1), (225, 1), (239, 7), (302, 1), (307, 4), (371, 1), (429, 1), (456, 1), (470, 2), (503, 1), (517, 1), (518, 1), (562, 1), (593, 1), (610, 1), (660, 1), (677, 1), (686, 3), (689, 3), (706, 1), (725, 1), (750, 1), (789, 3), (835, 1), (867, 1), (868, 1), (869, 5), (887, 2), (930, 2), (933, 1), (996, 1), (1045, 3), (1105, 1), (1122, 1), (1148, 1), (1157, 1), (1166, 1), (1188, 2), (1204, 2), (1225, 1), (1274, 4), (1275, 1), (1351, 1), (1354, 3), (1382, 1), (1397, 1), (1401, 3), (1413, 1), (1416, 1), (1417, 3), (1454, 1), (1456, 1), (1469, 2), (1494, 1), (1501, 1), (1571, 5), (1623, 4), (1647, 1), (1902, 1), (1956, 1), (1998, 1), (2001, 1), (2016, 1), (2042, 2), (2213, 1), (2233, 2), (2266, 1), (2358, 1), (2393, 1), (2472, 1), (2714, 1), (2744, 1), (2882, 1), (3047, 3), (3293, 1), (3564, 3), (3593, 2), (3626, 1), (3668, 3), (3860, 1), (3883, 1), (3932, 1), (4010, 2), (4056, 1), (4057, 1), (4058, 1), (4059, 1), (4060, 2), (4061, 1), (4062, 1), (4063, 1), (4064, 1), (4065, 4), (4066, 1), (4067, 1), (4068, 1), (4069, 1), (4070, 1), (4071, 1), (4072, 1), (4073, 2), (4074, 4), (4075, 1), (4076, 1), (4077, 1), (4078, 1), (4079, 1), (4080, 1), (4081, 1)]"
110,"[(44, 1), (47, 2), (56, 1), (80, 2), (85, 1), (89, 1), (94, 1), (97, 2), (115, 1), (143, 1), (167, 1), (177, 1), (198, 1), (258, 1), (280, 3), (292, 1), (346, 1), (369, 1), (393, 1), (394, 1), (416, 1), (428, 1), (489, 1), (586, 1), (588, 1), (635, 1), (642, 1), (643, 1), (660, 1), (665, 1), (745, 1), (759, 1), (771, 1), (775, 1), (779, 2), (793, 1), (823, 1), (874, 2), (950, 1), (961, 1), (1006, 1), (1030, 1), (1073, 1), (1121, 1), (1194, 1), (1209, 1), (1229, 6), (1233, 3), (1338, 1), (1376, 1), (1530, 1), (1536, 1), (1686, 1), (1774, 1), (1794, 1), (1823, 1), (1843, 1), (1857, 1), (1872, 1), (1983, 2), (2025, 4), (2076, 1), (2138, 1), (2154, 1), (2161, 1), (2238, 1), (2275, 1), (2305, 1), (2431, 1), (2450, 1), (2480, 3), (2603, 1), (2635, 2), (2790, 1), (2822, 2), (2857, 1), (2938, 1), (2971, 1), (3192, 1), (3207, 2), (3436, 1), (3544, 1), (3668, 1), (3739, 3), (3920, 2), (4082, 1), (4083, 1), (4084, 1), (4085, 1), (4086, 2), (4087, 1), (4088, 2), (4089, 1), (4090, 1), (4091, 3), (4092, 1), (4093, 1), (4094, 1), (4095, 1), (4096, 1), (4097, 1), (4098, 1), (4099, 1), (4100, 1), (4101, 1), (4102, 1), (4103, 3), (4104, 2), (4105, 1), (4106, 1), (4107, 1), (4108, 1), (4109, 1), (4110, 1), (4111, 1), (4112, 1), (4113, 1), (4114, 2), (4115, 1), (4116, 1), (4117, 1), (4118, 1), (4119, 1), (4120, 1), (4121, 1), (4122, 1), (4123, 1), (4124, 1), (4125, 3), (4126, 2)]"
111,"[(17, 1), (19, 1), (42, 1), (44, 4), (47, 1), (63, 1), (72, 2), (84, 1), (86, 1), (148, 1), (172, 1), (175, 1), (178, 1), (184, 2), (192, 1), (196, 1), (220, 4), (222, 1), (239, 1), (258, 1), (295, 2), (378, 1), (430, 2), (442, 1), (468, 1), (469, 1), (480, 1), (529, 3), (533, 1), (539, 1), (567, 1), (617, 1), (660, 1), (769, 1), (789, 1), (812, 2), (858, 1), (936, 1), (969, 1), (986, 1), (1007, 1), (1044, 1), (1049, 1), (1142, 1), (1149, 1), (1151, 1), (1155, 1), (1186, 1), (1263, 1), (1313, 1), (1345, 2), (1401, 1), (1407, 2), (1431, 1), (1479, 1), (1497, 1), (1532, 1), (1554, 1), (1642, 1), (1647, 1), (1672, 1), (1673, 1), (1698, 1), (1763, 2), (1797, 1), (1835, 1), (1862, 1), (1879, 1), (1895, 1), (1903, 1), (1914, 1), (1960, 1), (1961, 1), (2016, 1), (2019, 1), (2118, 1), (2128, 1), (2346, 1), (2419, 1), (2435, 1), (2448, 1), (2455, 1), (2792, 1), (2815, 1), (2875, 1), (2885, 1), (2930, 1), (2951, 1), (2999, 1), (3065, 1), (3274, 1), (3354, 1), (3368, 1), (3433, 1), (3547, 1), (3652, 1), (3782, 1), (4056, 1), (4062, 1), (4127, 1), (4128, 1), (4129, 1), (4130, 1), (4131, 2), (4132, 1), (4133, 1), (4134, 1), (4135, 1), (4136, 1), (4137, 1), (4138, 1), (4139, 1), (4140, 2), (4141, 1), (4142, 1), (4143, 1), (4144, 1), (4145, 1), (4146, 1), (4147, 1), (4148, 2), (4149, 1), (4150, 1), (4151, 1), (4152, 1), (4153, 1), (4154, 1), (4155, 1), (4156, 2), (4157, 1), (4158, 1), (4159, 1), (4160, 1), (4161, 1), (4162, 1), (4163, 1), (4164, 1), (4165, 2), (4166, 1)]"
112,"[(19, 1), (44, 1), (84, 1), (90, 1), (100, 1), (126, 1), (155, 1), (169, 3), (175, 1), (176, 1), (177, 1), (192, 1), (196, 2), (400, 1), (429, 1), (430, 1), (447, 1), (479, 1), (500, 1), (525, 1), (535, 2), (617, 1), (634, 1), (643, 1), (652, 1), (660, 1), (744, 1), (756, 1), (775, 1), (820, 1), (913, 2), (922, 1), (949, 1), (1099, 1), (1161, 1), (1165, 1), (1189, 1), (1225, 1), (1245, 2), (1297, 1), (1303, 1), (1378, 1), (1464, 1), (1469, 1), (1471, 1), (1516, 1), (1522, 1), (1560, 1), (1647, 1), (1736, 1), (1745, 1), (1779, 1), (1786, 1), (1820, 2), (1870, 1), (2121, 2), (2232, 1), (2272, 1), (2298, 1), (2351, 1), (2452, 1), (2569, 2), (2728, 2), (3202, 1), (3218, 3), (3398, 1), (3718, 1), (3721, 1), (3722, 1), (3728, 1), (3730, 1), (3740, 1), (3822, 1), (3854, 1), (4167, 1), (4168, 1), (4169, 1), (4170, 1), (4171, 1), (4172, 1), (4173, 1), (4174, 1), (4175, 1), (4176, 1), (4177, 1), (4178, 1), (4179, 1)]"
113,"[(36, 1), (44, 1), (89, 2), (90, 1), (98, 1), (100, 1), (108, 2), (112, 1), (125, 1), (155, 1), (164, 5), (169, 1), (176, 1), (182, 1), (183, 1), (193, 1), (206, 1), (210, 1), (220, 4), (225, 1), (297, 1), (316, 1), (335, 1), (350, 1), (358, 1), (368, 1), (374, 1), (483, 1), (487, 1), (494, 1), (520, 2), (533, 1), (715, 3), (724, 1), (755, 3), (762, 1), (794, 4), (810, 2), (848, 2), (856, 1), (857, 5), (951, 1), (1007, 1), (1052, 1), (1066, 1), (1174, 1), (1250, 1), (1270, 1), (1294, 1), (1309, 1), (1326, 1), (1408, 1), (1494, 1), (1495, 1), (1624, 1), (1672, 1), (1700, 1), (1800, 2), (1839, 1), (1858, 1), (1946, 2), (1970, 2), (2076, 1), (2124, 1), (2140, 1), (2189, 1), (2211, 1), (2232, 1), (2307, 1), (2394, 1), (2462, 1), (2522, 1), (2599, 2), (2722, 1), (2852, 1), (2853, 1), (2958, 1), (3336, 1), (3529, 1), (3621, 1), (3663, 1), (3786, 1), (3983, 1), (4072, 1), (4080, 1), (4180, 2), (4181, 1), (4182, 4), (4183, 1), (4184, 1), (4185, 1), (4186, 1), (4187, 2), (4188, 1), (4189, 1), (4190, 2), (4191, 1), (4192, 1), (4193, 2), (4194, 1), (4195, 2), (4196, 1), (4197, 1), (4198, 8), (4199, 1), (4200, 1), (4201, 1), (4202, 1), (4203, 3), (4204, 1), (4205, 2), (4206, 1), (4207, 1), (4208, 1), (4209, 1), (4210, 1), (4211, 2), (4212, 1), (4213, 1), (4214, 1), (4215, 2), (4216, 1)]"
114,"[(8, 1), (19, 2), (45, 5), (47, 1), (61, 2), (69, 2), (85, 1), (161, 1), (174, 1), (177, 4), (210, 1), (212, 1), (221, 1), (225, 1), (241, 1), (262, 1), (280, 2), (285, 2), (288, 1), (389, 1), (390, 1), (393, 1), (416, 2), (429, 2), (440, 1), (442, 1), (444, 1), (461, 1), (494, 2), (515, 1), (518, 1), (665, 1), (669, 1), (693, 1), (704, 2), (749, 1), (760, 1), (764, 2), (810, 6), (844, 1), (853, 1), (857, 1), (859, 1), (864, 2), (898, 2), (1088, 1), (1148, 1), (1203, 1), (1261, 1), (1274, 1), (1280, 1), (1408, 1), (1415, 1), (1494, 2), (1506, 1), (1598, 1), (1623, 2), (1647, 1), (1801, 1), (1872, 1), (2126, 2), (2189, 1), (2240, 1), (2367, 1), (2493, 1), (2854, 1), (2937, 1), (3307, 1), (3363, 1), (3626, 1), (3727, 1), (3823, 1), (3856, 1), (3896, 1), (4217, 1), (4218, 1), (4219, 1), (4220, 2), (4221, 1), (4222, 1), (4223, 1), (4224, 1), (4225, 1), (4226, 1), (4227, 1), (4228, 2), (4229, 1), (4230, 2), (4231, 1), (4232, 1), (4233, 1), (4234, 1), (4235, 1), (4236, 1), (4237, 1), (4238, 1), (4239, 1), (4240, 1), (4241, 1), (4242, 1), (4243, 1), (4244, 1), (4245, 1), (4246, 1), (4247, 1), (4248, 2)]"
115,"[(8, 2), (17, 3), (31, 1), (38, 1), (70, 2), (84, 1), (85, 2), (93, 2), (94, 1), (100, 2), (115, 2), (120, 1), (140, 1), (145, 1), (160, 1), (167, 1), (175, 1), (190, 1), (197, 3), (206, 4), (247, 1), (281, 1), (289, 1), (376, 1), (384, 1), (395, 1), (404, 1), (407, 1), (416, 1), (430, 3), (442, 1), (452, 1), (478, 1), (483, 2), (491, 1), (494, 2), (512, 1), (518, 1), (533, 3), (558, 2), (634, 1), (639, 4), (643, 3), (659, 1), (665, 1), (672, 5), (693, 1), (700, 1), (706, 1), (709, 1), (710, 1), (718, 1), (756, 1), (763, 1), (788, 1), (791, 2), (794, 3), (804, 2), (810, 1), (902, 1), (928, 1), (946, 1), (970, 1), (997, 1), (1103, 3), (1155, 1), (1163, 1), (1270, 2), (1274, 1), (1291, 3), (1346, 1), (1362, 1), (1378, 1), (1385, 1), (1386, 1), (1392, 1), (1494, 1), (1523, 1), (1532, 1), (1535, 1), (1674, 3), (1683, 2), (1782, 1), (1863, 1), (1870, 3), (1872, 1), (1883, 1), (1970, 13), (2025, 2), (2174, 1), (2210, 1), (2434, 1), (2475, 1), (2477, 1), (2574, 2), (2586, 1), (2803, 3), (2808, 1), (2818, 1), (2827, 1), (2831, 1), (3267, 1), (3379, 2), (3803, 1), (3950, 5), (3997, 2), (4208, 1), (4218, 2), (4249, 1), (4250, 4), (4251, 1), (4252, 1), (4253, 1), (4254, 3), (4255, 1), (4256, 1), (4257, 1), (4258, 1), (4259, 1), (4260, 1), (4261, 1), (4262, 1), (4263, 1), (4264, 1), (4265, 1), (4266, 1), (4267, 1), (4268, 1), (4269, 1), (4270, 1), (4271, 1), (4272, 2), (4273, 1), (4274, 1), (4275, 7), (4276, 2), (4277, 1), (4278, 6), (4279, 1), (4280, 1), (4281, 2), (4282, 1), (4283, 7), (4284, 3), (4285, 1), (4286, 1), (4287, 1), (4288, 3), (4289, 1), (4290, 1), (4291, 5), (4292, 4), (4293, 2), (4294, 1), (4295, 1), (4296, 2)]"
116,"[(41, 1), (44, 3), (45, 1), (72, 3), (75, 4), (78, 1), (89, 1), (94, 1), (98, 1), (148, 1), (155, 2), (156, 1), (172, 1), (175, 2), (177, 1), (182, 1), (183, 1), (203, 1), (220, 1), (268, 1), (272, 1), (289, 1), (295, 1), (404, 1), (429, 1), (441, 1), (452, 1), (469, 3), (512, 1), (517, 1), (529, 1), (535, 2), (554, 1), (654, 1), (683, 1), (706, 1), (719, 2), (744, 1), (763, 1), (779, 1), (810, 1), (858, 1), (900, 1), (928, 1), (933, 1), (980, 1), (986, 1), (1015, 4), (1029, 1), (1030, 1), (1186, 1), (1244, 1), (1280, 1), (1303, 1), (1313, 1), (1452, 1), (1521, 1), (1567, 1), (1576, 1), (1631, 1), (1735, 1), (1805, 1), (1877, 2), (1883, 1), (2022, 1), (2246, 1), (2338, 1), (2383, 1), (2480, 1), (2522, 1), (2586, 1), (3008, 1), (3246, 2), (3247, 3), (3254, 1), (3290, 1), (3326, 1), (3566, 1), (3663, 1), (3791, 1), (4297, 1), (4298, 1), (4299, 1), (4300, 1), (4301, 1), (4302, 1), (4303, 1), (4304, 1), (4305, 1), (4306, 1), (4307, 1), (4308, 1), (4309, 1), (4310, 1), (4311, 3), (4312, 1), (4313, 1), (4314, 1), (4315, 1)]"
117,"[(32, 1), (63, 1), (75, 8), (148, 1), (176, 1), (192, 1), (225, 1), (239, 1), (263, 1), (318, 1), (321, 1), (327, 1), (371, 1), (419, 1), (434, 1), (447, 1), (450, 1), (508, 1), (512, 1), (534, 1), (593, 1), (690, 1), (696, 1), (777, 1), (789, 3), (798, 1), (833, 1), (835, 1), (925, 1), (928, 2), (949, 1), (962, 1), (1027, 1), (1042, 1), (1066, 2), (1121, 1), (1133, 1), (1158, 1), (1197, 1), (1249, 1), (1382, 1), (1512, 1), (1517, 1), (1532, 1), (1584, 1), (1592, 1), (1642, 1), (1684, 1), (1731, 1), (1742, 2), (1795, 2), (2000, 1), (2126, 1), (2145, 1), (2148, 1), (2363, 1), (2364, 1), (2652, 1), (2657, 1), (2816, 1), (2846, 1), (2853, 1), (2888, 1), (3227, 1), (3277, 1), (3290, 1), (3433, 1), (3652, 1), (3695, 3), (3740, 1), (3802, 1), (3923, 2), (4049, 1), (4069, 1), (4072, 1), (4122, 1), (4316, 1), (4317, 1), (4318, 1), (4319, 1), (4320, 1), (4321, 1), (4322, 1), (4323, 1), (4324, 1), (4325, 3), (4326, 1), (4327, 1), (4328, 1), (4329, 1), (4330, 1), (4331, 1), (4332, 1), (4333, 1), (4334, 1), (4335, 1), (4336, 1)]"
118,"[(19, 2), (29, 1), (63, 1), (84, 1), (104, 3), (169, 4), (220, 1), (251, 1), (261, 1), (270, 3), (296, 1), (431, 1), (466, 1), (506, 3), (518, 1), (549, 1), (659, 1), (873, 2), (888, 1), (905, 1), (913, 1), (1035, 2), (1126, 1), (1263, 3), (1373, 1), (1380, 1), (1385, 1), (1408, 1), (1441, 1), (1532, 1), (1588, 1), (1686, 3), (1699, 1), (1711, 1), (1716, 1), (1870, 1), (1946, 1), (2115, 1), (2494, 1), (2780, 1), (2796, 1), (2807, 2), (2882, 1), (3297, 1), (3425, 1), (3773, 1), (4144, 1), (4188, 1), (4337, 1), (4338, 2), (4339, 1), (4340, 1), (4341, 1), (4342, 1), (4343, 1), (4344, 1), (4345, 1), (4346, 2), (4347, 1), (4348, 1), (4349, 1)]"
119,"[(8, 1), (44, 1), (60, 1), (72, 1), (94, 1), (100, 1), (153, 1), (155, 1), (157, 1), (166, 1), (175, 1), (182, 1), (194, 1), (198, 1), (202, 1), (210, 1), (220, 3), (222, 1), (295, 1), (351, 1), (430, 5), (435, 1), (469, 2), (473, 1), (475, 1), (483, 2), (494, 1), (512, 1), (516, 2), (519, 1), (529, 4), (533, 4), (539, 1), (593, 2), (770, 1), (784, 1), (785, 1), (787, 1), (810, 2), (820, 2), (889, 1), (902, 1), (965, 1), (1046, 1), (1053, 3), (1139, 1), (1186, 1), (1209, 1), (1229, 1), (1240, 1), (1244, 1), (1270, 1), (1321, 1), (1422, 1), (1469, 1), (1514, 2), (1682, 1), (1783, 1), (1843, 1), (1885, 1), (1889, 1), (1903, 1), (2126, 1), (2154, 1), (2342, 1), (2346, 1), (2450, 1), (2518, 1), (2559, 1), (2635, 1), (2716, 1), (2854, 1), (2934, 1), (2993, 1), (3008, 1), (3205, 1), (3238, 1), (3267, 1), (3291, 1), (3473, 1), (3537, 1), (3547, 1), (3783, 1), (3909, 1), (3996, 1), (4339, 1), (4350, 1), (4351, 1), (4352, 1), (4353, 1), (4354, 1), (4355, 1), (4356, 1), (4357, 1), (4358, 1), (4359, 1), (4360, 1), (4361, 1), (4362, 1), (4363, 1), (4364, 1), (4365, 2), (4366, 1)]"
120,"[(22, 1), (26, 1), (29, 2), (31, 1), (44, 2), (72, 2), (75, 3), (138, 1), (155, 1), (169, 1), (175, 1), (177, 1), (225, 1), (239, 1), (258, 1), (289, 1), (292, 1), (408, 1), (416, 1), (429, 1), (434, 1), (449, 1), (473, 2), (487, 1), (497, 1), (525, 1), (535, 2), (617, 1), (744, 1), (750, 1), (756, 2), (784, 1), (812, 2), (820, 1), (823, 1), (829, 3), (863, 1), (899, 1), (913, 1), (1016, 2), (1062, 1), (1066, 1), (1176, 1), (1178, 1), (1184, 1), (1202, 1), (1249, 1), (1350, 1), (1394, 1), (1417, 1), (1434, 3), (1490, 2), (1531, 1), (1557, 1), (1566, 1), (1571, 1), (1654, 1), (1663, 1), (1766, 1), (1775, 2), (1800, 1), (1823, 1), (1839, 1), (1920, 1), (2000, 1), (2200, 1), (2240, 1), (2254, 1), (2388, 1), (2427, 1), (2813, 1), (2854, 1), (2856, 2), (2988, 1), (3217, 1), (3781, 1), (3830, 1), (3836, 1), (4228, 1), (4240, 1), (4243, 1), (4362, 1), (4367, 1), (4368, 1), (4369, 1), (4370, 1), (4371, 1), (4372, 1), (4373, 1), (4374, 1), (4375, 1), (4376, 1), (4377, 1), (4378, 1), (4379, 1), (4380, 1), (4381, 3), (4382, 1), (4383, 1), (4384, 1), (4385, 1), (4386, 1), (4387, 1), (4388, 1), (4389, 1), (4390, 1), (4391, 1), (4392, 1), (4393, 1), (4394, 1), (4395, 2), (4396, 1), (4397, 1), (4398, 1), (4399, 1), (4400, 1), (4401, 1), (4402, 1), (4403, 1), (4404, 1), (4405, 1), (4406, 1), (4407, 1), (4408, 2), (4409, 1), (4410, 1), (4411, 1)]"
121,"[(13, 1), (53, 1), (63, 1), (72, 1), (79, 1), (89, 2), (90, 1), (94, 1), (100, 2), (115, 2), (126, 1), (128, 1), (137, 1), (146, 1), (153, 1), (174, 1), (176, 4), (190, 3), (198, 1), (201, 1), (202, 2), (225, 1), (248, 1), (270, 1), (280, 1), (292, 1), (302, 1), (315, 1), (333, 1), (348, 1), (363, 1), (366, 1), (371, 2), (384, 4), (404, 3), (418, 1), (430, 1), (440, 2), (456, 1), (460, 1), (478, 1), (487, 1), (528, 2), (539, 2), (551, 1), (595, 1), (638, 1), (659, 2), (660, 2), (678, 1), (706, 1), (720, 1), (722, 1), (744, 1), (775, 1), (784, 1), (821, 1), (833, 1), (835, 1), (889, 1), (951, 1), (953, 1), (989, 1), (998, 1), (1066, 1), (1087, 1), (1161, 1), (1176, 3), (1186, 1), (1200, 1), (1209, 2), (1244, 1), (1313, 1), (1325, 1), (1330, 1), (1375, 2), (1406, 1), (1434, 1), (1441, 1), (1674, 1), (1697, 1), (1718, 1), (1722, 1), (1746, 1), (1755, 2), (1775, 1), (1794, 2), (1832, 1), (1887, 1), (1914, 1), (1935, 1), (1951, 1), (1978, 1), (1990, 1), (2131, 1), (2148, 4), (2229, 1), (2320, 1), (2364, 1), (2365, 1), (2373, 1), (2390, 1), (2400, 1), (2467, 1), (2468, 1), (2529, 2), (2582, 1), (2689, 3), (2696, 2), (2705, 1), (2714, 1), (2736, 6), (2831, 2), (2893, 1), (2895, 1), (2929, 1), (2934, 1), (2955, 1), (3003, 1), (3007, 1), (3030, 1), (3230, 1), (3258, 1), (3299, 1), (3304, 1), (3319, 1), (3321, 1), (3322, 1), (3362, 1), (3368, 1), (3378, 1), (3423, 1), (3492, 8), (3546, 9), (3551, 5), (3560, 3), (3572, 3), (3690, 2), (3712, 1), (3731, 2), (3736, 1), (3750, 4), (3803, 1), (3826, 1), (4000, 2), (4008, 2), (4412, 1), (4413, 1), (4414, 1), (4415, 1), (4416, 1), (4417, 1), (4418, 1), (4419, 1), (4420, 6), (4421, 1), (4422, 2), (4423, 1), (4424, 1), (4425, 1), (4426, 1), (4427, 1), (4428, 2), (4429, 1), (4430, 1), (4431, 1), (4432, 1), (4433, 1), (4434, 2), (4435, 2), (4436, 1), (4437, 2), (4438, 1), (4439, 1), (4440, 1), (4441, 1), (4442, 1), (4443, 1), (4444, 1), (4445, 1), (4446, 1), (4447, 7), (4448, 1), (4449, 2), (4450, 6), (4451, 1), (4452, 1), (4453, 3), (4454, 1), (4455, 2), (4456, 1), (4457, 1), (4458, 1), (4459, 1), (4460, 1), (4461, 1), (4462, 1), (4463, 2), (4464, 1), (4465, 1), (4466, 2), (4467, 1), (4468, 1), (4469, 1), (4470, 1), (4471, 1), (4472, 1), (4473, 1), (4474, 1), (4475, 18), (4476, 1), (4477, 3), (4478, 1), (4479, 1), (4480, 1), (4481, 1), (4482, 2), (4483, 1), (4484, 1), (4485, 1), (4486, 1), (4487, 1), (4488, 1), (4489, 2), (4490, 1), (4491, 1), (4492, 1), (4493, 1), (4494, 3), (4495, 1)]"
122,"[(5, 1), (19, 2), (48, 1), (72, 1), (80, 1), (94, 1), (120, 1), (235, 1), (246, 2), (258, 1), (291, 1), (292, 2), (296, 1), (312, 1), (372, 1), (429, 1), (430, 1), (439, 1), (456, 2), (472, 1), (652, 2), (660, 1), (689, 1), (794, 1), (804, 1), (873, 2), (891, 1), (1007, 1), (1017, 1), (1109, 1), (1163, 1), (1166, 1), (1186, 1), (1217, 1), (1242, 1), (1274, 1), (1371, 1), (1407, 2), (1408, 1), (1434, 1), (1527, 3), (1686, 1), (1725, 1), (1876, 1), (1887, 1), (1936, 1), (1965, 1), (1983, 1), (2000, 1), (2018, 1), (2076, 1), (2090, 1), (2185, 1), (2262, 1), (2291, 1), (2315, 1), (2351, 1), (2420, 1), (2426, 1), (2469, 1), (2509, 1), (2599, 1), (2962, 1), (3200, 1), (3246, 1), (3323, 1), (3324, 1), (3379, 1), (3448, 1), (3570, 1), (3581, 1), (3667, 1), (3804, 1), (4182, 1), (4496, 1), (4497, 1), (4498, 1), (4499, 1), (4500, 13), (4501, 1), (4502, 1), (4503, 1), (4504, 1), (4505, 1), (4506, 1), (4507, 1), (4508, 1), (4509, 1), (4510, 1), (4511, 2), (4512, 2), (4513, 2), (4514, 1), (4515, 1), (4516, 1), (4517, 1), (4518, 1), (4519, 1), (4520, 1), (4521, 1), (4522, 1), (4523, 1)]"
123,"[(44, 1), (45, 1), (72, 1), (94, 1), (126, 1), (137, 1), (148, 1), (166, 1), (175, 2), (176, 1), (178, 1), (192, 1), (227, 1), (289, 1), (429, 1), (442, 1), (469, 1), (479, 1), (518, 1), (610, 1), (634, 1), (713, 3), (750, 1), (823, 1), (833, 1), (911, 1), (1060, 1), (1064, 1), (1073, 1), (1078, 1), (1109, 1), (1166, 1), (1243, 1), (1246, 1), (1257, 1), (1414, 1), (1423, 1), (1797, 3), (1892, 1), (1920, 1), (2000, 1), (2358, 1), (2455, 1), (2745, 1), (2906, 1), (2939, 1), (3020, 1), (3570, 1), (3595, 5), (3891, 1), (4311, 1), (4524, 1), (4525, 1), (4526, 1), (4527, 1), (4528, 1), (4529, 1), (4530, 1), (4531, 1), (4532, 1), (4533, 1), (4534, 1), (4535, 1), (4536, 1), (4537, 1), (4538, 1), (4539, 1)]"
